fseason,year,tot_catch,obs_ln_cpue1,cpue1_se,obs_ln_cpue2,cpue2_se,obs_ln_cpue3,cpue3_se,obs_ln_cpue4,cpue4_se,obs_env_gam, obs_env,env_se
NA,2006,6,NA,NA,NA,NA,-1.848544276,0.242217302,NA,NA,0.833119006,-0.502373713,0.056575978
NA,2007,6,NA,NA,NA,NA,-1.023700283,0.168295231,NA,NA,0.828835291,-0.506657428,0.057079954
NA,2008,6,NA,NA,NA,NA,-0.570887904,0.132809576,NA,NA,0.901654696,-0.433838023,0.056711266
2009/10,2009,70.27169342,NA,NA,NA,NA,-1.128677525,0.153480332,NA,NA,0.970809614,-0.364683105,0.05588947
2010/11,2010,67.52206865,NA,NA,NA,NA,-1.205370762,0.153959118,NA,NA,1.040497827,-0.294994892,0.056134235
2011/12,2011,58.578,NA,NA,NA,NA,-0.892194641,0.140818005,NA,NA,1.200093046,-0.135399673,0.05623506
2012/13,2012,81.41663201,NA,NA,NA,NA,-1.409949176,0.169629833,NA,NA,1.316101585,-0.019391134,0.056340872
2013/14,2013,34.285,NA,NA,NA,NA,-1.979938877,0.184014351,NA,NA,1.188930559,-0.14656216,0.056685043
NA,2014,6,NA,NA,NA,NA,-3.314567732,0.281144125,NA,NA,1.039946689,-0.29554603,0.056578046
NA,2015,6,NA,NA,NA,NA,-4.945330106,0.41184342,NA,NA,1.032550906,-0.302941813,0.057674975
NA,2016,6,NA,NA,NA,NA,-2.18654723,0.210908441,NA,NA,1.009703925,-0.325788794,0.057170933
NA,2017,6,NA,NA,NA,NA,-1.788567712,0.213410446,NA,NA,1.031511575,-0.303981144,0.072192933
NA,2018,6,NA,NA,NA,NA,-3.311850608,0.318892268,NA,NA,,-0.5,0.10366479
NA,2019,6,NA,NA,NA,NA,-3.137682461,0.299480747,NA,NA,,-0.5,0.10366479
